No.,No. 2,No. 3,Time,Review text,Rater 1 - Valence,Rater 1 - Arousal,Rater 2 - Valence,Rater 2 - Arousal
16,29290,542,9/14/11,"Over rated for new york thin crust pizza. The sauce tasted like it was from a can. The cheese was good tho. Caesar salad and bruschetta was good too, the only reason I gave it the third star. Overall I would never go back or take anyone else to this restaurant. There are many other places you can get authentic New York Pizza in New York!",4,5,4,2
17,45554,422,6/15/13,"Really tasty, satisfying food. Standard selection of Americanized Mexican food (e.g. tacos, burritos, quesadillas, tostada salads), but good ingredients and great flavor. Big selection of vegetarian burritos (and vegan adaptations available) that have, in tandem with the great taste, won my heart. Seitan burrito? Yes please. Lots of tasty hot sauces and salsas (and guacamole, if you order it) to go with whatever you're getting. Quick delivery or takeout. There are a few stool seats in the place if you happen to drop by and want to eat in, but this is only doable if you're alone or with one other person.",8,6,7,5
18,3457,709,4/28/13,"Excellent! My friend and I were looking for a place to eat before an event at The Bell House. We had originally picked somewhere else, but when we walked pack this place with its outdoor seating and cute red umbrellas and ADORABLE old-fashioned decor and ceiling tiles inside, how could we turn it down? The menu was great. The sandwiches and sides and salads all looked incredible (they also have pizza and pasta and bruschetta). I had chosen a panini, and then our waiter told us the special - butternut squash and coconut soup. YEP, I'll take a bowl! I also ordered a side of the house potato chips. You guys, they were SO good! They were ultra crispy and not greasy in the slightest! They were lightly coated in this great salt; it was flakes instead of granules. Nummy. The soup was sooooo good, too. Normally, butternut squash soup gets boring after a few spoonfuls, but this one left me happy till the last drop. I would absolutely recommend this to a friend!",9,9,9,9
19,110014,549,7/13/14,"This is a great spot to grab a coffee and catch up with a friend. Casual, friendly vibe. My friend has eaten there often and recommended the food, however, I have to give three stars because I got the heart of palm and chicken salad and the lettuce ends were disappointingly brown. I didn't want to make a big deal because I was short on time so can't comment on the customer service (which was great during the ordering process), but I had to toss almost half of my salad away. Sadness :(",4,5,3,5
20,61647,263,8/30/10,"After seeing Scott Conant on Top Chef, Chopped and No Reservations, I finally had a chance to dine with friends at Scarpetta.  My friends arrived early so they went across the street to grab a drink.  The host and hostess at Scarpetta allowed us to push our reservation back half an hour so we could go across the street for a drink first.  Very accommodating. The dinner didn't disappoint.  The bread basket was wonderful.  I agree with other Yelpers that the salami stuffed bread was amazing.  We shared the burrata and fritto misto to start.  Both were perfection.  The fritto misto was light and how can you go wrong with fried flavors! For main course, I had the agnolotti which was one of the best italian pasta dishes that I've ever had.  Each little pocket of pasta burst with flavor.  It was truly a wonderful dish. I would definitely return again but I think it is a bit pricey.  Shared apps, entrees, coffee/tea and one glass of wine ran us about $60/head with tax and tip.",9,3,9,1
21,144980,796,12/3/12,"The food is good. You won't feel full or like you had an outterbody experience, but you will be satisfied. The brunch cocktails are amazing! Great selection of bourbon if you're into that. The food came out quickly and tasted good. Service was lacking. Our waiter was completely uninterested in our table or if we were taken care of. I don't know if he was having a bad day, or that's just him. I went one time before and the service much better. So I guess just hope you get a cheerful server :)",5,4,5,4
22,91293,454,10/22/10,sometimes i go to lucky chang's and drink too much and decide a trip to cafeteria would be a nice end to my evening but what ends up happening is that i overhear an engagement proposal happening at the table to my right and instead of smiling and tipping my hat/ raising my glass to the newly engaged i jump up on my egg-shaped ottoman/chair/incubee and start announcing to the entire downstairs diningroom that WE HAVE AN ENGAGED COUPLE OVER HERE AND A CELEBRATION IS IN ORDER and then i start a round of applause and a wave and demand that everyone send them drinks so they have about 20 drinks on their table for two people and then my friends and i decide to join them at their massive table for two and over the next couple hours and two different bars we talk about how we will totally be in the wedding party... we. never. talk. again.,6,9,5,7
23,11809,524,12/23/13,"Within a year, Mighty Quinn's has become a neighborhood favorite.  And I'm not just talking about myself.  Hundreds of low and slow faithful line up out the door and down the street night after night, regardless of the weather.   Taking a page from the BBQ handbook, you order meat by weight and seat yourself.  Sorry, no fancy table service here.  Be prepared to sit with strangers as the seating is tight.  Introverts need not fear; you will be shoveling the food down so fast, you won't feel the need to make small talk with your neighbors.   I'm not really a BBQ sandwich kind of guy myself.  Just give me the meat and save the filler.  For those of you who enjoy the bread, you have that option here and I'm sure it's just as amazing.  The menu highlights were definitely the fatty brisket and the burnt ends.  I would have preferred a little less sauce on the burnt ends but they were still phenomenal and I couldn't stop eating them.  The fatty brisket rivaled Hill Country although I still think Hill Country takes the cake in that department.  Still, here at MQ's it was melt in your mouth good and you didn't want to stop eating it.  The ribs definitely left something to be desired.  They were a little dry and required extra sauce.  (See: Daisy May's for the OG ribs).  As for sides, sweet potato casserole all the way. Encountered a very surly ""server"" here who I wanted to b*tch slap but her Aunt Flo was probably in town for the week so I did as my man Jesus did and turned the other cheek.  I'm not even sure what her job was since you seat yourself/bus your own tray and the people behind the counter get your food.  She was pretty much a bouncer, ensuring an orderly line, but don't you dare ask her how long the wait is from a certain point.  God help you if you ask her that... Other than that encounter, very enjoyable experience here.  Top notch BBQ is just what the East Village needed.",7,5,7,6
24,55062,227,1/30/13,Seriously delectable food. Excellent service. Yummy cocktails. We couldn't stop gushing over  the food though.,8,6,8,6
25,20669,677,12/22/14,"It's nothing to look at, but the food is an old comfort here. It's counter style ordering at its finest, patrons rubbing elbows with one another on line, damp plastic trays stacked up high, steaming metal trays of food steaming deliciously. Ordering is an ordeal here, and I was chided at least once for not ""following their order procedure"" -- for example: how was I to know you need to pick up a tray if you order in? But once I sat down at my table, tray laden full of Dominican food in front of me, I instantly forgot the bustle and calamity I had to endure to get there. Oxtail melted off the bone, just barely, but just enough. The sauce was slightly too thick and salty for my liking, but the flavor was delicious. A chicken stew thickened with disintegrating potatoes reminded me of cheap hole-in-the-wall taquerias on late nights throughout my college days. A platter of rice, beans, and plantains heaped so heavily that sudden motions during the transportation of tray-to-table would result in floods of food all over the place. The food definitely sticks to your ribs and you feel it after your meal. But it's good. You get a lot of food for your money and you'll probably swear never to come back, but I guarantee you will eventually. It has a sort of quaint charm (for midtown Manhattan) that does it. Pros: Food is decent Huge portions Pretty cheap Cons: Cafeteria style seating Can be a bit of a zoo with all the people on line ordering and shouting Feels claustrophobic",6,5,7,6
26,18777,840,5/29/11,It's a 4 but knocked it to 3 for the most recent visit. My waiter was ok...and if he were a bit better that night I would keep this place as a 4. I had a friend visit from jersey and met here based on my experience before and i won't again probably. :(  it's so sad because i really went here a lot and was embarassed by my last visit.,3,6,2,6
27,2446,564,9/15/13,"Like just about everyone else who has reviewed Amelie, I concur that the $10 wine flights during the 5-7 pm happy hour is a really excellent deal. Fairly generous pours, and if you're a wine connoisseur, feel free to choose any three wines as long as they're all different. My server was a very gregarious Spanish man who was extremely helpful with the group. He gave us lots of bread refills and wasn't in a hurry to have us leave even though we lingered over 3 hours. The seats at the larger tables looked like cinema seats - they had numbers and the bottom of the seat would flip up when you stood. I tried the goat cheese balls and the escargots - unfortunately none were too memorable, but it was a suitable accompaniment to the excellent deal on the wine. There was a live jazz band performing as well.",7,2,7,2
28,89241,448,3/17/14,"Went here on a Sunday during brunch hours. It was really busy and so we ended up waiting a little while for our food--about 25 minutes, so nothing absurd. When we got our food, a guy who I assume must have been the manager came over and said that he noticed we had to wait for a while and offered us a round of free drinks by way of apology. It was great, proactive customer service. Also, the food was delicious.",8,2,8,3
29,26135,289,3/12/10,"One of the better falafels I have had in NYC, but...... just not complex enough, and a little too dry (not Mamoun dry though). I do like the fact that they have 3 different types of falafel, but for $6 I feel there should be a little more complexity to the ingredients used in the sandwich, they could pick up a few tips from Azuri Cafe. They are friendly and do a good job at getting you what you want when they are busy, and they do get busy, recommend calling your order in if you are going to pick up around lunch, otherwise you might stand there for a good 15 minutes with no where to stand inside, or sit outside.",6,2,7,2
30,4535,490,8/11/12,"Visited Bouley twice in the past 2 weeks. Overall I think the food, service and atmosphere is certainly comparable to, if not better than, most of the many top tier restaurants I've been to in NY and around the world. Some of my absolute favs at Bouley is the pre-dessert white peach soup with icecream (I don't think they have this anymore), the porcini flan with crab, and the duck. The bread service is also extremely good. I've also had some of the more creative (El Bulli inspired) off menu items such as the white chocolate ""cloud"". On top of the food, the service was superb (I had Carlos on both visits) and the atmosphere is lovely. Most restaurants fail to impress the second time due to the loss of the surprise factor, but Bouley was superb on both visits. Will definitely go back again next time when I'm back in NY.",8,3,9,7
31,61398,263,12/23/13,"Scott Conant delivers at Scarpetta. What a gem this restaurant is. Situated on the outskirts of the meat packing district on 14th Street, you could easily have trouble finding the restaurant. The grey sign with light yellow writing is small and obscure to say the least! But the word is out because this place is always packed and this last Saturday night was no different. We dined here with another couple and were seated quite promptly after ordering some wine and a cocktail at the bar. A note on good bar tender service: I wasn't sure about the white wine by the glass he suggested so he gave me a taste I could swirl around and consider before ordering. These small details make such a difference in service. In fact, at dinner I ordered a different glass and without prompting, the server also allowed me to taste it before filling my glass. Both wines were delicious. Try not to fill up on the unbelievably indulgent bread they served before the meal. The dough is rolled with cheese, prosciutto and spinach which makes this bread practically a meal in itself. I passed on an appetizer but tasted my husband's octopus which was so tasty-the smoke flavor, chick peas and pancetta made this little dish sing! Our friends shared the short ribs app and also reported it to be excellent. I had the fennel dusted cod which was cooked to perfection and served with an unbelievably seasoned ragout and a baccala purée that was out of this world. Salted cod purée?! Genius Mr. Conant! Hubby had the a seafood tagliolini and he is a tough critic on homemade pasta-well, this tasted pretty close to what you might expect in Italy. Service was attentive and my glass was flowing throughout the meal with pellegrino as ordered. Coffee was really superb and they steam the milk which I think is the sign of after-dinner coffee service perfection! The group shared the banana bread dessert which really was outstanding. Beautifully plated and flavors really worked for a nicely composed dessert-and large enough to share. We never felt rushed even though we sat at 7:15 and left around 9:15. Service was also exceptional. Atmosphere is trendy but not obnoxious and over the top. The decor is simple but it works in the space. The only weird thing to note is the creepy basement location of the bathrooms which have a communal row of sinks for hand washing and they are tucked into the ladies area. It is just a little weird to be fixing your hair or freshening your makeup next to the gents! Other than that, absolutely perfect dining experience and not outrageously priced either. Definitely returning soon!",8,1,9,7
32,7336,711,4/8/13,"This place is jam packed! My friend and I went for something small and then came back here for round two. I recommend coming here at a later time, we got seats in 15 mins as oppose to 30+ mins. (**) I say sit at the bar since the bartenders were really the people who took orders and you can watch the game at the same time. The place was nice with dim lighting. Good for groups, dates, and hang out. I don't recommend coming here just to drink at the bar because there was no room for it. It was mainly occupied by customer who eat. (***) Before I started my meal, the waiter helped us with our bibs and gave us plastic gloves. What came after was all the good stuff which was also in plastic bags. This is where I can truly say ""dig in"". I had 1LB of the Shrimp and 1LB of the clam with mild sauce and all the spicy they use. It had this thickness of cheese and they used a lot of garlic. It was very salty, but at the same time it taste so good. (***) Service was a bit slow in the beginning since it took us forever to figure out who can take our order, but then it started picking up when our food came. The waiters were like owls, they could spot every empty bag and remove it from your table just like that. I love how the waitress called us ""love"" whenever we needed something. It works for her so keep it up. When we left the restaurant, the owner would greet us like we were entering. (****)",8,9,6,7
33,13778,43,7/23/10,"Love Cookshop. Love the ambiance, decor, drinks, and most of all, the food. Their brunch is one of the best brunches I've ever had in the city, no doubt. The cookshop scramble with salmon is just so scrumptious that I don't know what they do to their eggs... I've tried to replicate it many times, but their eggs are just magical. Their pancakes and french toast are deelish as well, and a plus for summer: there's outdoors seating. Dinner is great, too - but a tad on the expensive side for me.",8,5,7,7
34,13791,215,2/10/10,"Not too much space (and even less when everyone's coats and other winter gear is piled up on the seats) - but the atmosphere and the food definitely made up for it. Fried pickles - why would you want to fry a pickle? (Why do we fry anything, for that matter?! Because it'll taste damn good.) Slightly spicy, but not too much to handle. Sweet Afton's burger - actually tasted like a steak burger, yum. I'm jealous that Astoria gets this fun little spot all to itself.",8,7,7,7
35,2288,508,3/19/14,"Remember that scene from The Simpsons, when Homer and Marge are eating at Apu and Manjula's? Marge: This is delicious! What's in it? Manjula: Chickpeas, lentils, and rice. Marge: And this? Manjula: Chickpeas and lentils Apu: Try it with the rice! Anyhoo, that was reminiscent of our dinner at Osteria Morini. What's in this? Cream, butter, and proscuitto. And what's in this? Cream, butter, and proscuitto. That being said, the 3 are a winning combo, and while dabbing cream and butter onto pasta isn't culinary genius (and probably not worth a $22 price tag), it did make for satisfying eating on a recent subzero NYC night.",8,3,8,3
36,83499,414,2/19/11,"It never gets old. I live around the corner and have meatballs maybe three times a week. A lot of great restaurants I find I feel very enthusiastically about at first, but continually visiting takes away the value, however the meatball shop is consistently amazing. Maybe its because the concept is so simple, and yet there is so much variety. Whatever it is, it certainly works for me (i wait like a hawk at the bar ready to swoop down and grab seats so as not to wait for an hour!).",9,3,9,3
37,10154,497,9/9/12,"Other reviews do a great job but here is some more advice: BYOB (free corkage)! It's really hard to find a BYOB that has amazing food in NYC. We didn't know this before we went but the waitress directed us to a wine shop at S 1st and Bedford. It was hard to find something to go with both Korean and French flavors but our Montepulciano d'Abruzzo did the trick. It's a small space so try to make reservations. The dining area maybe sits 9 people inside and a couple outside; apparently the restaurant started out as a take-out place but people started eating there and now it also has dine-in. You get a sense the delivery is still a huge part of the business because they had as much staff as diners when I went! In addition to the Kimchi Bouillabaisse (more mussels than other seafood but still delish), also try the duck confit, which was super tasty. The greens that came with the duck has a pomegranate dressing that served as the perfect compliment.",7,4,7,4
38,4872,510,5/31/08,"I dunno--I guess it's cool if you think the fact lenny kravitz shot a video there once is really cool--but to me it's just an pointlessly crowded clusterfuck of lameness. The food is severely sub par. I suppose if it was continually empty, it might be cute to pop into every once in awhile and get a drink but generally speaking you might as well just move to europe to hang out with the euro trash if you enjoy this place that much.",2,7,2,7
39,8913,243,12/5/10,The food is worth the sometimes long wait and average service. Its a great place for groups but the food comes out as its ready so sometimes you'll be finished with your meal by the time other people are even served. I've never been disappointed with the food and its some of the best pizza I've ever had.,7,6,7,6
40,1849,591,5/29/12,"I found johny's on yelp one day when I was craving for pancakes one day just before lunch time (happens more than I want to admit). Walked in there and sat down at the counter. Ordered my 2 eggs with pancakes and got my pancake fix. I was quite hungry but couldn't finish everything cuz those pancakes were seriously huge. Big and fluffy pancakes - I can eat them everyday. It was cheap too. Came out about 8$ with coffee. Took my husband there on the weekend and the place was full (it was fleet week). So we sat down at the back at a table. My husband had the curious George (which is eggs, cheese, bacon and French fries in a sandwich) and I had the Greek fajitas. His curious George was sooo awesome - but don't forget the hot sauce! The fajitas was a-ok. Only problem though - my husband's tummy got sick after we got home - I took 1 star off because of that. I will keep going there to get my pancake fix and/ or when I'm too lazy to cook breakfast. I'm so glad we have johny's in the neighborhood!",9,7,9,7
41,17047,62,11/19/14,sesame cream brulee soooooo amazing,8,8,8,8
42,13295,419,9/26/12,"Fun and delicious.  The kind of nice cheap neighborhood place I wish was near where I lived.  For $8 I got a delicious, huge bowl of curry with a perfectly crispy katsu, and delicious fukujinzuke pickles.  Not an overwhelming amount of rice, just enough, and perfectly balanced.  Comes with a nice side of shredded cabbage. My friend and I laughed as we ate that the restaurant was perfectly authentic and reminiscent of our time in Japan because of how tiny it was, really just a counter and 4 tightly packed little tables, we were basically sitting on top of the people next to us, so if you hate tight spaces get takeout!",7,8,9,8
43,7551,919,12/4/12,"Unfortunately  my niece was recently diagnosed with Celiac's Disease.  So when my entire family came into the city we felt it would be best to eat at a legit gluten-free restaurant.  I'll be honest, I'm kind of a food snob and was nervous we wouldn't find a decent place.   There didn't seem to be many legit options either. Lots of places say they can make gluten-free to order but they kind of don't know what they are talking about.   Upon researching different options I stumbled upon Bistango.  Though it's outside of midtown (Murray Hill, what?!) and we were seeing a show in the Theater District at 8pm, I decided the reviews were good enough to go off the grid and take my family on an adventure to Murray Hill.  ...and I'm SO glad I did! Anthony is the owner of the restaurant and couldn't be a nicer guy.  He was very helpful when I made the phone reservation, even told me the history on the hows and whys Bistango made the switch to gluten-free food options. The food is delicious.  Whether or not you need to eat gluten-free you will really love the food.  I had the skirt steak and think it was possibly the best skirt steak that I've ever had.   Creme Brulee for dessert.  Calamari   appetizer, tuna tar tar.... I have to say, I would totally go back.  Great service, great food.  If you're looking for a great gluten-free option (or even if you're not!!!) you won't be disappointed.",9,6,9,7
44,89515,448,3/11/11,I love this place. It's kitchy and has really good food. The only downside is that there's usually a serious wait during peak hours. It's way too popular. I wish people would stop liking it.,8,7,7,7
45,74753,601,12/10/08,"The field of NYC pizza reviewing is so rife with contention that it's all but impossible to get any perspective.  We're all a bit pizza nuts and get trapped in the polemical loop circling what constitutes ""the best"". Are we as strongly opinionated about any other food in this city?  I suppose we feel in some strange way that NYC pizza belongs to us, or stems from us, or is us...a kind of food proxy; hence all the heated debate. Anyway, where does Luzzo's stand in the fray?  I've eaten here several times and it has oscillated from very good (3 stars) to outstanding (5 stars) depending largely on whether the resident pizzaiolo is manning the ship.   On their outstanding days, the pizza comes out of that blazing coal fired oven in 2 minutes flat.  As you bite in the crust gives off a puff of steam (the rapid bake time traps the moisture).  There is just a smattering of char on the base to add that subtle carbon twang.  The sauce, the cheese, everything tastes so bright and articulate; it is just barely cooked and has yet to dissipate an ounce of intrinsic flavor.  Utterly ethereal!   If you wait more than 5 minutes, it is a soggy mess of disjointed flavors.  More than any other dish, this hinges on timing for the pizza you start with bares little resemblance to that which you are ingesting at the meal's conclusion. As for the service, what can anyone say?  It possesses that rare continental combination of aggressive and inattentive - polarities fostered in countries devoid of tipping.",7,5,5,5
46,30615,685,7/29/13,"I feel like I have had almost every burger in NYC that claims to be the ""best"" and it has been a long time since a burger has blown me away....until today.  I had the day off so I made my way over to Umami for a late lunch, early dinner around 4PM.  The wait was about 25-30 minutes and when we got inside the staff was incredibly friendly. Our waitress was great and even though the restaurant opened today she had tried every burger and was able to give me information on each one.  Her favorite was the Truffle burger so I decided to go with that one.  As other reviewers have said, they recommend getting the burger medium rare.  The burger came out in about 10 minutes and it was AMAZING.  Every bite was perfect and I was sad as it started to get smaller and smaller.  It probably was the most rare ""medium rare"" I have ever had but it still stayed together as I ate it.  We also had the sweet potato fries with the 4 dipping sauces.  The fries were good but no different then other good fries you can get anywhere.  I can't wait to come back again and again although I can't imagine anything else on the menu being as good as the truffle burger.",7,3,9,8
47,11988,860,6/10/08,"I never realized how much I had gotten sick NY style pizza till I ate at Adrienne's (tied with Aperitivo because their pizza is near identical). This is probably on my list of top 3 pizza places in the city. While it was depressing working in the financial district, on those occasions I had enough time to leave my desk to eat out, Adrienne's was my first choice spot. Introduced by an ex-colleague, the pizza here is delicious. But if you're into the traditonally thin and triangular, larger-than-life size slices of NY style pizza, then this isn't the place for you. The pizza at Adrienne's, if you order a whole pie, comes out in a retangular pan. I think regardless of the toppings you get (my favorite combo is onions, roasted peppers, mushrooms and prosciutto), the pizza will taste marvelous. I like it because it's a little more substantive than the regular NY style pizza, but much less dense and bready than sicilian pizza. They bake the pizza with perfection so there's that wonderful ""crunch"" when you take a bite. The pizza bread on the inside isn't doughy--it's baked with just the right amount of fluffiness and the tomato sauce to cheese ratio is just right. And so is the amount of toppings. During lunch, it's impossible to get a table or seat, especially during the winter. When it gets warmer outside, they open up seating on the cobblestone and the ambiance is nice. Definitely swing by if you're in the area, you won't be sorry! I crave Adrienne's every now and then and it's definitely irritating because I no longer work or live close by!",6,3,7,6
48,118208,592,9/17/13,"Best of the Best.. Love the food and atmosphere, exclusive only for the best of the best. Never forget ya..",9,4,9,9
49,11421,224,4/1/13,"This place great, I'd give it a 4.5. The Dead Rabbit takes up two stories of a cute little brownstone right on Water Street, away from the bustle of Stone Street. The bar staff is wonderful and attentive, the music fun, and the decor fabulous. It has the ambiance of a speakeasy, although I imagine it's not as calm during happy hour times after work. It also has a great scotch selection, which is always a plus in my book. I only had the pleasure of trying their Pie du Jour, which was nice and hearty, perfect comfort food on a chilly day. I am excited to go back and try out some of the other delectables on their menu.",7,3,9,7
50,78972,628,11/4/13,"I give Morgan's two stars in hopes that in a month or two I can go back and then add a few more stars. I went for brunch with three friends and they came to sit us as we were still perusing the menu and deciding whether or not we wanted to eat there. We decided to go for it, but upon sitting down we were promptly told that the regular brunch menu was not an option. Instead they gave one piece of paper with all new brunch items. Unfortunately, some of the stuff that was on the original brunch menu was what we had wanted, but we figured we'd make do. The waitress (who was a bit weird) came to take our drink orders. I had seen a bloody mary go by and asked how much they were since they weren't listed on the menu. She said she didn't know but that she ""thought"" they were $9. The one I'd seen was tiny, so there was no way I was going to get it. My friend ordered coffee, but was promptly told they didn't have coffee. Who serves brunch and doesn't have coffee?? We ordered food and it came pretty quickly. Nothing was hot though, which was unfortunate because the flavors were there it was just too cold. I got the biscuits and gravy with the mushroom gravy. Really yummy gravy, but the biscuits were too dense. I grew up in the south and know what biscuits should taste like, and these were not that. I also split a side of mac and cheese with a friend. It was fine, but nothing special, and again it was almost cold which is not good for mac and cheese. My other friends liked their food... one got a breakfast burrito and said the brisket was delicious. Another got a large plate of banana pancakes, which were good (although there was nutella on the top, which I don't think he was expecting). The third got a sandwich and had to order a side of mac and cheese bc they only serve sides with their sandwiches M-F for lunch. Luckily she asked the waitress about this before she ordered so she wasn't surprised by the bill when it arrived, like some other people have been. The menu really needs to be updated to say M-F though. Then as we were paying the bill, the friend who got the burrito had been charged an extra $2 for it. Overall a pretty mediocre meal, a bit too expensive, and WHO DOESN'T HAVE COFFEE? I would go back in a month or two if they are still around in the hopes that they will have figured out some of these issues. Oh, and the upstairs bathroom door knocks into the door to the kitchen, so I came VERY close to colliding with a waiter when I came out of it. Not a good design.",4,7,3,4
